player_id,player_name,model_name,ending_stack,rounds_played,round_id,folds,checks,calls,raises,allins,simulation_index
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,900,301,1,0,3,1,1,0,16
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,1040,301,3,0,7,1,0,0,17
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,980,301,3,0,7,1,0,0,17
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,980,301,3,0,6,2,0,0,17
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1105,301,3,0,6,3,1,0,18
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,980,301,6,1,6,0,2,0,18
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,915,301,6,2,3,2,0,0,18
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,1070,301,3,0,6,1,1,0,19
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,980,301,3,0,6,2,0,0,19
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,950,301,3,0,6,3,0,0,19
3,Mixtral 8x7B,mistralai/Mixtral-8x7B-Instruct-v0.1,1020,301,1,0,3,1,0,0,20
1,Llama 3.3 70B,meta-llama/Llama-3.3-70B-Instruct-Turbo,990,301,1,0,4,0,0,0,20
2,Qwen 2.5 72B,Qwen/Qwen2.5-72B-Instruct-Turbo,990,301,1,0,3,1,0,0,20
